Year,EventName,Driver,Team,QualifyingTime (s),PointsIndex,ConstructorPointsIndex,FinishingPosition
2025,Australian Grand Prix,NOR,McLaren,75.096,0.0,0.0,1
2025,Australian Grand Prix,VER,Red Bull Racing,75.481,0.0,0.0,2
2025,Australian Grand Prix,RUS,Mercedes,75.546,0.0,0.0,3
2025,Australian Grand Prix,ANT,Mercedes,76.525,0.0,0.0,4
2025,Australian Grand Prix,ALB,Williams,75.737,0.0,0.0,5
2025,Australian Grand Prix,STR,Aston Martin,76.369,0.0,0.0,6
2025,Australian Grand Prix,HUL,Kick Sauber,76.579,0.0,0.0,7
2025,Australian Grand Prix,LEC,Ferrari,75.755,0.0,0.0,8
2025,Australian Grand Prix,PIA,McLaren,75.18,0.0,0.0,9
2025,Australian Grand Prix,HAM,Ferrari,75.919,0.0,0.0,10
2025,Australian Grand Prix,GAS,Alpine,75.98,0.0,0.0,11
2025,Australian Grand Prix,TSU,Racing Bulls,75.67,0.0,0.0,12
2025,Australian Grand Prix,OCO,Haas F1 Team,77.147,0.0,0.0,13
2025,Australian Grand Prix,BEA,Haas F1 Team,76.06857894736842,0.0,0.0,14
2025,Australian Grand Prix,LAW,Red Bull Racing,77.094,0.0,0.0,15
2025,Australian Grand Prix,BOR,Kick Sauber,76.516,0.0,0.0,16
2025,Australian Grand Prix,ALO,Aston Martin,76.288,0.0,0.0,17
2025,Australian Grand Prix,SAI,Williams,75.931,0.0,0.0,18
2025,Australian Grand Prix,DOO,Alpine,76.315,0.0,0.0,19
2025,Australian Grand Prix,HAD,Racing Bulls,76.175,0.0,0.0,20
2025,Chinese Grand Prix,PIA,McLaren,90.641,0.08,1.0,1
2025,Chinese Grand Prix,NOR,McLaren,90.787,1.0,1.0,2
2025,Chinese Grand Prix,RUS,Mercedes,90.723,0.6,1.0,3
2025,Chinese Grand Prix,VER,Red Bull Racing,90.817,0.72,0.6666666666666666,4
2025,Chinese Grand Prix,OCO,Haas F1 Team,91.625,0.0,0.0,5
2025,Chinese Grand Prix,ANT,Mercedes,91.103,0.48,1.0,6
2025,Chinese Grand Prix,ALB,Williams,91.503,0.4,0.37037037037037035,7
2025,Chinese Grand Prix,BEA,Haas F1 Team,92.018,0.0,0.0,8
2025,Chinese Grand Prix,STR,Aston Martin,91.773,0.32,0.2962962962962963,9
2025,Chinese Grand Prix,SAI,Williams,91.628,0.0,0.37037037037037035,10
2025,Chinese Grand Prix,HAD,Racing Bulls,91.079,0.0,0.0,11
2025,Chinese Grand Prix,LAW,Red Bull Racing,92.174,0.0,0.6666666666666666,12
2025,Chinese Grand Prix,DOO,Alpine,92.092,0.0,0.0,13
2025,Chinese Grand Prix,BOR,Kick Sauber,92.141,0.0,0.2222222222222222,14
2025,Chinese Grand Prix,HUL,Kick Sauber,91.632,0.24,0.2222222222222222,15
2025,Chinese Grand Prix,TSU,Racing Bulls,91.238,0.0,0.0,16
2025,Chinese Grand Prix,ALO,Aston Martin,91.688,0.0,0.2962962962962963,17
2025,Chinese Grand Prix,LEC,Ferrari,91.021,0.16,0.18518518518518517,18
2025,Chinese Grand Prix,HAM,Ferrari,90.927,0.04,0.18518518518518517,19
2025,Chinese Grand Prix,GAS,Alpine,91.992,0.0,0.0,20
2025,Japanese Grand Prix,VER,Red Bull Racing,86.983,0.6976744186046512,0.42857142857142855,1
2025,Japanese Grand Prix,NOR,McLaren,86.995,1.0,1.0,2
2025,Japanese Grand Prix,PIA,McLaren,87.027,0.627906976744186,1.0,3
2025,Japanese Grand Prix,LEC,Ferrari,87.299,0.09302325581395349,0.07142857142857142,4
2025,Japanese Grand Prix,RUS,Mercedes,87.318,0.6976744186046512,0.7142857142857143,5
2025,Japanese Grand Prix,ANT,Mercedes,87.555,0.46511627906976744,0.7142857142857143,6
2025,Japanese Grand Prix,HAM,Ferrari,87.61,0.023255813953488372,0.07142857142857142,7
2025,Japanese Grand Prix,HAD,Racing Bulls,87.569,0.0,0.0,8
2025,Japanese Grand Prix,ALB,Williams,87.615,0.37209302325581395,0.24285714285714285,9
2025,Japanese Grand Prix,BEA,Haas F1 Team,87.711,0.09302325581395349,0.2,10
2025,Japanese Grand Prix,ALO,Aston Martin,87.897,0.0,0.14285714285714285,11
2025,Japanese Grand Prix,TSU,Red Bull Racing,87.967,0.0,0.42857142857142855,12
2025,Japanese Grand Prix,GAS,Alpine,87.822,0.0,0.0,13
2025,Japanese Grand Prix,SAI,Williams,87.836,0.023255813953488372,0.24285714285714285,14
2025,Japanese Grand Prix,DOO,Alpine,88.877,0.0,0.0,15
2025,Japanese Grand Prix,HUL,Kick Sauber,88.57,0.13953488372093023,0.08571428571428572,16
2025,Japanese Grand Prix,LAW,Racing Bulls,87.906,0.0,0.0,17
2025,Japanese Grand Prix,OCO,Haas F1 Team,88.696,0.23255813953488372,0.2,18
2025,Japanese Grand Prix,BOR,Kick Sauber,88.622,0.0,0.08571428571428572,19
2025,Japanese Grand Prix,STR,Aston Martin,89.271,0.23255813953488372,0.14285714285714285,20
2025,Bahrain Grand Prix,PIA,McLaren,89.841,0.6885245901639344,1.0,1
2025,Bahrain Grand Prix,RUS,Mercedes,90.009,0.6557377049180327,0.6601941747572816,2
2025,Bahrain Grand Prix,NOR,McLaren,90.267,1.0,1.0,3
2025,Bahrain Grand Prix,LEC,Ferrari,90.175,0.26229508196721313,0.22330097087378642,4
2025,Bahrain Grand Prix,HAM,Ferrari,90.772,0.11475409836065574,0.22330097087378642,5
2025,Bahrain Grand Prix,VER,Red Bull Racing,90.423,0.9016393442622951,0.5339805825242718,6
2025,Bahrain Grand Prix,GAS,Alpine,90.216,0.0,0.0,7
2025,Bahrain Grand Prix,OCO,Haas F1 Team,91.594,0.16393442622950818,0.14563106796116504,8
2025,Bahrain Grand Prix,TSU,Red Bull Racing,91.228,0.0,0.5339805825242718,9
2025,Bahrain Grand Prix,BEA,Haas F1 Team,92.373,0.08196721311475409,0.14563106796116504,10
2025,Bahrain Grand Prix,ANT,Mercedes,90.213,0.45901639344262296,0.6601941747572816,11
2025,Bahrain Grand Prix,ALB,Williams,92.04,0.29508196721311475,0.18446601941747573,12
2025,Bahrain Grand Prix,HAD,Racing Bulls,91.271,0.06557377049180328,0.038834951456310676,13
2025,Bahrain Grand Prix,DOO,Alpine,91.245,0.0,0.0,14
2025,Bahrain Grand Prix,ALO,Aston Martin,91.634,0.0,0.0970873786407767,15
2025,Bahrain Grand Prix,LAW,Racing Bulls,92.165,0.0,0.038834951456310676,16
2025,Bahrain Grand Prix,STR,Aston Martin,92.283,0.16393442622950818,0.0970873786407767,17
2025,Bahrain Grand Prix,BOR,Kick Sauber,92.186,0.0,0.05825242718446602,18
2025,Bahrain Grand Prix,SAI,Williams,90.68,0.01639344262295082,0.18446601941747573,19
2025,Bahrain Grand Prix,HUL,Kick Sauber,92.067,0.09836065573770492,0.05825242718446602,20
2024,Bahrain Grand Prix,VER,Red Bull Racing,89.179,0.0,0.0,1
2024,Bahrain Grand Prix,PER,Red Bull Racing,89.537,0.0,0.0,2
2024,Bahrain Grand Prix,SAI,Ferrari,89.507,0.0,0.0,3
2024,Bahrain Grand Prix,LEC,Ferrari,89.165,0.0,0.0,4
2024,Bahrain Grand Prix,RUS,Mercedes,89.485,0.0,0.0,5
2024,Bahrain Grand Prix,NOR,McLaren,89.614,0.0,0.0,6
2024,Bahrain Grand Prix,HAM,Mercedes,89.71,0.0,0.0,7
2024,Bahrain Grand Prix,PIA,McLaren,89.683,0.0,0.0,8
2024,Bahrain Grand Prix,ALO,Aston Martin,89.542,0.0,0.0,9
2024,Bahrain Grand Prix,STR,Aston Martin,89.965,0.0,0.0,10
2024,Bahrain Grand Prix,ZHO,Kick Sauber,90.757,0.0,0.0,11
2024,Bahrain Grand Prix,MAG,Haas F1 Team,90.529,0.0,0.0,12
2024,Bahrain Grand Prix,RIC,RB,90.278,0.0,0.0,13
2024,Bahrain Grand Prix,TSU,RB,90.129,0.0,0.0,14
2024,Bahrain Grand Prix,ALB,Williams,90.221,0.0,0.0,15
2024,Bahrain Grand Prix,HUL,Haas F1 Team,89.851,0.0,0.0,16
2024,Bahrain Grand Prix,OCO,Alpine,90.793,0.0,0.0,17
2024,Bahrain Grand Prix,GAS,Alpine,90.948,0.0,0.0,18
2024,Bahrain Grand Prix,BOT,Kick Sauber,90.756,0.0,0.0,19
