Year,EventName,Driver,Team,QualifyingTime (s),FinishingPosition,PointsIndex
2018,Australian Grand Prix,ALO,McLaren,83.597,5,0.0
2018,Australian Grand Prix,BOT,Mercedes,82.089,8,0.0
2018,Australian Grand Prix,ERI,Sauber,84.556,19,0.0
2018,Australian Grand Prix,GAS,Toro Rosso,85.295,18,0.0
2018,Australian Grand Prix,GRO,Haas F1 Team,83.339,16,0.0
2018,Australian Grand Prix,HAM,Mercedes,81.164,2,0.0
2018,Australian Grand Prix,HAR,Toro Rosso,84.532,15,0.0
2018,Australian Grand Prix,HUL,Renault,83.532,7,0.0
2018,Australian Grand Prix,LEC,Sauber,84.636,13,0.0
2018,Australian Grand Prix,MAG,Haas F1 Team,83.187,17,0.0
2018,Australian Grand Prix,OCO,Force India,84.503,12,0.0
2018,Australian Grand Prix,PER,Force India,84.005,11,0.0
2018,Australian Grand Prix,RAI,Ferrari,81.828,3,0.0
2018,Australian Grand Prix,RIC,Red Bull Racing,82.152,4,0.0
2018,Australian Grand Prix,SAI,Renault,83.061,10,0.0
2018,Australian Grand Prix,SIR,Williams,84.922,20,0.0
2018,Australian Grand Prix,STR,Williams,84.23,14,0.0
2018,Australian Grand Prix,VAN,McLaren,83.853,9,0.0
2018,Australian Grand Prix,VER,Red Bull Racing,81.879,6,0.0
2018,Australian Grand Prix,VET,Ferrari,81.838,1,0.0
2018,Bahrain Grand Prix,ALO,McLaren,90.212,7,0.09900990099009901
2018,Bahrain Grand Prix,BOT,Mercedes,88.124,2,0.13861386138613863
2018,Bahrain Grand Prix,ERI,Sauber,91.063,9,0.13861386138613863
2018,Bahrain Grand Prix,GAS,Toro Rosso,89.329,4,0.13861386138613863
2018,Bahrain Grand Prix,GRO,Haas F1 Team,90.53,13,0.13861386138613863
2018,Bahrain Grand Prix,HAM,Mercedes,88.22,3,0.31683168316831684
2018,Bahrain Grand Prix,HAR,Toro Rosso,90.105,17,0.31683168316831684
2018,Bahrain Grand Prix,HUL,Renault,89.187,6,0.37623762376237624
2018,Bahrain Grand Prix,LEC,Sauber,91.42,12,0.37623762376237624
2018,Bahrain Grand Prix,MAG,Haas F1 Team,89.358,5,0.37623762376237624
