Year,EventName,Driver,Team,QualifyingTime (s),PointsIndex,FinishingPosition
2024,Bahrain Grand Prix,VER,Red Bull Racing,89.179,0.0,1
2024,Bahrain Grand Prix,PER,Red Bull Racing,89.537,0.0,2
2024,Bahrain Grand Prix,SAI,Ferrari,89.507,0.0,3
2024,Bahrain Grand Prix,LEC,Ferrari,89.165,0.0,4
2024,Bahrain Grand Prix,RUS,Mercedes,89.485,0.0,5
2024,Bahrain Grand Prix,NOR,McLaren,89.614,0.0,6
2024,Bahrain Grand Prix,HAM,Mercedes,89.71,0.0,7
2024,Bahrain Grand Prix,PIA,McLaren,89.683,0.0,8
2024,Bahrain Grand Prix,ALO,Aston Martin,89.542,0.0,9
2024,Bahrain Grand Prix,STR,Aston Martin,89.965,0.0,10
2024,Bahrain Grand Prix,ZHO,Kick Sauber,90.757,0.0,11
2024,Bahrain Grand Prix,MAG,Haas F1 Team,90.529,0.0,12
2024,Bahrain Grand Prix,RIC,RB,90.278,0.0,13
2024,Bahrain Grand Prix,TSU,RB,90.129,0.0,14
2024,Bahrain Grand Prix,ALB,Williams,90.221,0.0,15
2024,Bahrain Grand Prix,HUL,Haas F1 Team,89.851,0.0,16
2024,Bahrain Grand Prix,OCO,Alpine,90.793,0.0,17
2024,Bahrain Grand Prix,GAS,Alpine,90.948,0.0,18
2024,Bahrain Grand Prix,BOT,Kick Sauber,90.756,0.0,19
2024,Bahrain Grand Prix,SAR,Williams,90.77,0.0,20
2024,Saudi Arabian Grand Prix,VER,Red Bull Racing,87.472,1.0,1
2024,Saudi Arabian Grand Prix,PER,Red Bull Racing,87.807,0.6923076923076923,2
2024,Saudi Arabian Grand Prix,LEC,Ferrari,87.791,0.46153846153846156,3
2024,Saudi Arabian Grand Prix,PIA,McLaren,88.089,0.15384615384615385,4
2024,Saudi Arabian Grand Prix,ALO,Aston Martin,87.846,0.07692307692307693,5
2024,Saudi Arabian Grand Prix,RUS,Mercedes,88.316,0.38461538461538464,6
2024,Saudi Arabian Grand Prix,BEA,Ferrari,88.642,0.0,7
2024,Saudi Arabian Grand Prix,NOR,McLaren,88.132,0.3076923076923077,8
2024,Saudi Arabian Grand Prix,HAM,Mercedes,88.46,0.23076923076923078,9
2024,Saudi Arabian Grand Prix,HUL,Haas F1 Team,89.055,0.0,10
2024,Saudi Arabian Grand Prix,ALB,Williams,88.98,0.0,11
2024,Saudi Arabian Grand Prix,MAG,Haas F1 Team,89.02,0.0,12
2024,Saudi Arabian Grand Prix,OCO,Alpine,89.475,0.0,13
2024,Saudi Arabian Grand Prix,SAR,Williams,89.526,0.0,14
2024,Saudi Arabian Grand Prix,TSU,RB,88.547,0.0,15
2024,Saudi Arabian Grand Prix,RIC,RB,89.025,0.0,16
2024,Saudi Arabian Grand Prix,BOT,Kick Sauber,89.179,0.0,17
2024,Saudi Arabian Grand Prix,ZHO,Kick Sauber,88.58373684210527,0.0,18
2024,Saudi Arabian Grand Prix,STR,Aston Martin,88.25,0.038461538461538464,19
2024,Saudi Arabian Grand Prix,GAS,Alpine,89.479,0.0,20
2024,Australian Grand Prix,SAI,Ferrari,76.185,0.29411764705882354,1
2024,Australian Grand Prix,LEC,Ferrari,76.304,0.5490196078431373,2
2024,Australian Grand Prix,NOR,McLaren,76.315,0.23529411764705882,3
2024,Australian Grand Prix,PIA,McLaren,76.572,0.3137254901960784,4
2024,Australian Grand Prix,PER,Red Bull Racing,76.274,0.7058823529411765,5
2024,Australian Grand Prix,STR,Aston Martin,76.78,0.0196078431372549,6
2024,Australian Grand Prix,TSU,RB,76.788,0.0,7
2024,Australian Grand Prix,ALO,Aston Martin,76.71,0.23529411764705882,8
2024,Australian Grand Prix,HUL,Haas F1 Team,77.976,0.0196078431372549,9
2024,Australian Grand Prix,MAG,Haas F1 Team,77.427,0.0,10
2024,Australian Grand Prix,ALB,Williams,77.13,0.0,11
2024,Australian Grand Prix,RIC,RB,78.085,0.0,12
2024,Australian Grand Prix,GAS,Alpine,77.982,0.0,13
2024,Australian Grand Prix,BOT,Kick Sauber,77.34,0.0,14
2024,Australian Grand Prix,ZHO,Kick Sauber,78.188,0.0,15
2024,Australian Grand Prix,OCO,Alpine,77.617,0.0,16
2024,Australian Grand Prix,RUS,Mercedes,76.724,0.35294117647058826,17
2024,Australian Grand Prix,HAM,Mercedes,76.96,0.1568627450980392,18
2024,Australian Grand Prix,VER,Red Bull Racing,75.915,1.0,19
2024,Japanese Grand Prix,VER,Red Bull Racing,88.197,1.0,1
2024,Japanese Grand Prix,PER,Red Bull Racing,88.263,0.9019607843137255,2
2024,Japanese Grand Prix,SAI,Ferrari,88.682,0.7843137254901961,3
2024,Japanese Grand Prix,LEC,Ferrari,88.786,0.9215686274509803,4
2024,Japanese Grand Prix,NOR,McLaren,88.489,0.5294117647058824,5
2024,Japanese Grand Prix,ALO,Aston Martin,88.686,0.3137254901960784,6
2024,Japanese Grand Prix,RUS,Mercedes,89.008,0.35294117647058826,7
2024,Japanese Grand Prix,PIA,McLaren,88.76,0.5490196078431373,8
2024,Japanese Grand Prix,HAM,Mercedes,88.766,0.1568627450980392,9
2024,Japanese Grand Prix,TSU,RB,89.413,0.11764705882352941,10
2024,Japanese Grand Prix,HUL,Haas F1 Team,89.494,0.058823529411764705,11
2024,Japanese Grand Prix,STR,Aston Martin,90.024,0.17647058823529413,12
2024,Japanese Grand Prix,MAG,Haas F1 Team,90.131,0.0196078431372549,13
2024,Japanese Grand Prix,BOT,Kick Sauber,89.593,0.0,14
2024,Japanese Grand Prix,OCO,Alpine,89.811,0.0,15
2024,Japanese Grand Prix,GAS,Alpine,90.119,0.0,16
2024,Japanese Grand Prix,SAR,Williams,90.139,0.0,17
2024,Japanese Grand Prix,ZHO,Kick Sauber,90.143,0.0,18
2024,Japanese Grand Prix,RIC,RB,89.472,0.0,19
2024,Japanese Grand Prix,ALB,Williams,89.714,0.0,20
2024,Chinese Grand Prix,VER,Red Bull Racing,93.66,1.0,1
2024,Chinese Grand Prix,NOR,McLaren,94.165,0.4805194805194805,2
2024,Chinese Grand Prix,PER,Red Bull Racing,93.982,0.8311688311688312,3
2024,Chinese Grand Prix,LEC,Ferrari,94.289,0.7662337662337663,4
2024,Chinese Grand Prix,SAI,Ferrari,94.297,0.7142857142857143,5
2024,Chinese Grand Prix,RUS,Mercedes,94.433,0.3116883116883117,6
2024,Chinese Grand Prix,ALO,Aston Martin,94.148,0.3116883116883117,7
2024,Chinese Grand Prix,PIA,McLaren,94.273,0.4155844155844156,8
2024,Chinese Grand Prix,HAM,Mercedes,95.573,0.12987012987012986,9
2024,Chinese Grand Prix,HUL,Haas F1 Team,94.604,0.03896103896103896,10
2024,Chinese Grand Prix,OCO,Alpine,95.223,0.0,11
2024,Chinese Grand Prix,ALB,Williams,95.241,0.0,12
2024,Chinese Grand Prix,GAS,Alpine,95.287,0.0,13
2024,Chinese Grand Prix,ZHO,Kick Sauber,95.505,0.0,14
2024,Chinese Grand Prix,STR,Aston Martin,94.838,0.11688311688311688,15
2024,Chinese Grand Prix,MAG,Haas F1 Team,95.516,0.012987012987012988,16
2024,Chinese Grand Prix,SAR,Williams,96.358,0.0,17
2024,Chinese Grand Prix,RIC,RB,94.934,0.0,18
2024,Chinese Grand Prix,TSU,RB,95.746,0.09090909090909091,19
2024,Chinese Grand Prix,BOT,Kick Sauber,94.665,0.0,20
2024,Miami Grand Prix,NOR,McLaren,87.594,0.5392156862745098,1
2024,Miami Grand Prix,VER,Red Bull Racing,87.241,1.0,2
2024,Miami Grand Prix,LEC,Ferrari,87.382,0.696078431372549,3
2024,Miami Grand Prix,PER,Red Bull Racing,87.46,0.7745098039215687,4
2024,Miami Grand Prix,SAI,Ferrari,87.455,0.6372549019607843,5
2024,Miami Grand Prix,HAM,Mercedes,87.697,0.11764705882352941,6
2024,Miami Grand Prix,TSU,RB,88.167,0.06862745098039216,7
2024,Miami Grand Prix,RUS,Mercedes,88.067,0.3137254901960784,8
2024,Miami Grand Prix,ALO,Aston Martin,88.427,0.30392156862745096,9
2024,Miami Grand Prix,OCO,Alpine,88.209,0.0,10
2024,Miami Grand Prix,HUL,Haas F1 Team,88.146,0.0392156862745098,11
2024,Miami Grand Prix,GAS,Alpine,87.976,0.0,12
2024,Miami Grand Prix,PIA,McLaren,87.675,0.35294117647058826,13
2024,Miami Grand Prix,ZHO,Kick Sauber,88.824,0.0,14
2024,Miami Grand Prix,RIC,RB,88.617,0.0,15
2024,Miami Grand Prix,BOT,Kick Sauber,88.463,0.0,16
2024,Miami Grand Prix,STR,Aston Martin,88.177,0.08823529411764706,17
2024,Miami Grand Prix,ALB,Williams,88.343,0.0,18
2024,Miami Grand Prix,MAG,Haas F1 Team,88.619,0.00980392156862745,19
2024,Miami Grand Prix,SAR,Williams,88.487,0.0,20
2024,Emilia Romagna Grand Prix,VER,Red Bull Racing,74.746,1.0,1
2024,Emilia Romagna Grand Prix,NOR,McLaren,74.837,0.6666666666666666,2
2024,Emilia Romagna Grand Prix,LEC,Ferrari,74.97,0.7166666666666667,3
2024,Emilia Romagna Grand Prix,PIA,McLaren,74.82,0.3,4
2024,Emilia Romagna Grand Prix,SAI,Ferrari,75.233,0.625,5
2024,Emilia Romagna Grand Prix,HAM,Mercedes,75.504,0.16666666666666666,6
2024,Emilia Romagna Grand Prix,RUS,Mercedes,75.234,0.3,7
2024,Emilia Romagna Grand Prix,PER,Red Bull Racing,75.706,0.7583333333333333,8
2024,Emilia Romagna Grand Prix,STR,Aston Martin,75.992,0.075,9
2024,Emilia Romagna Grand Prix,TSU,RB,75.358,0.10833333333333334,10
2024,Emilia Romagna Grand Prix,HUL,Haas F1 Team,75.569,0.03333333333333333,11
2024,Emilia Romagna Grand Prix,MAG,Haas F1 Team,76.854,0.008333333333333333,12
2024,Emilia Romagna Grand Prix,RIC,RB,75.674,0.0,13
2024,Emilia Romagna Grand Prix,OCO,Alpine,75.906,0.008333333333333333,14
2024,Emilia Romagna Grand Prix,ZHO,Kick Sauber,76.834,0.0,15
2024,Emilia Romagna Grand Prix,GAS,Alpine,76.015,0.0,16
2024,Emilia Romagna Grand Prix,SAR,Williams,75.73657894736841,0.0,17
2024,Emilia Romagna Grand Prix,BOT,Kick Sauber,76.626,0.0,18
2024,Emilia Romagna Grand Prix,ALO,Aston Martin,76.917,0.275,19
2024,Emilia Romagna Grand Prix,ALB,Williams,76.2,0.0,20
2024,Monaco Grand Prix,LEC,Ferrari,70.27,0.696551724137931,1
2024,Monaco Grand Prix,PIA,McLaren,70.424,0.3310344827586207,2
2024,Monaco Grand Prix,SAI,Ferrari,70.518,0.5862068965517241,3
2024,Monaco Grand Prix,NOR,McLaren,70.542,0.6758620689655173,4
2024,Monaco Grand Prix,RUS,Mercedes,70.543,0.296551724137931,5
2024,Monaco Grand Prix,VER,Red Bull Racing,70.567,1.0,6
2024,Monaco Grand Prix,HAM,Mercedes,70.621,0.19310344827586207,7
2024,Monaco Grand Prix,TSU,RB,70.858,0.09655172413793103,8
2024,Monaco Grand Prix,ALB,Williams,70.948,0.0,9
2024,Monaco Grand Prix,GAS,Alpine,70.896,0.0,10
2024,Monaco Grand Prix,ALO,Aston Martin,72.019,0.22758620689655173,11
2024,Monaco Grand Prix,RIC,RB,71.482,0.0,12
2024,Monaco Grand Prix,BOT,Kick Sauber,72.512,0.0,13
2024,Monaco Grand Prix,STR,Aston Martin,71.563,0.07586206896551724,14
2024,Monaco Grand Prix,SAR,Williams,72.02,0.0,15
2024,Monaco Grand Prix,ZHO,Kick Sauber,73.028,0.0,16
2024,Monaco Grand Prix,OCO,Alpine,71.285,0.006896551724137931,17
2024,Monaco Grand Prix,PER,Red Bull Racing,72.06,0.6551724137931034,18
2024,Monaco Grand Prix,HUL,Haas F1 Team,71.44,0.027586206896551724,19
2024,Monaco Grand Prix,MAG,Haas F1 Team,71.725,0.006896551724137931,20
2024,Canadian Grand Prix,VER,Red Bull Racing,72.0,1.0,1
2024,Canadian Grand Prix,NOR,McLaren,72.021,0.7189542483660131,2
2024,Canadian Grand Prix,RUS,Mercedes,71.742,0.3464052287581699,3
2024,Canadian Grand Prix,HAM,Mercedes,71.979,0.22875816993464052,4
2024,Canadian Grand Prix,PIA,McLaren,72.103,0.43137254901960786,5
2024,Canadian Grand Prix,ALO,Aston Martin,72.228,0.21568627450980393,6
2024,Canadian Grand Prix,STR,Aston Martin,72.659,0.0718954248366013,7
2024,Canadian Grand Prix,RIC,RB,72.178,0.0,8
2024,Canadian Grand Prix,GAS,Alpine,72.94,0.006535947712418301,9
2024,Canadian Grand Prix,OCO,Alpine,73.435,0.006535947712418301,10
2024,Canadian Grand Prix,HUL,Haas F1 Team,73.978,0.026143790849673203,11
2024,Canadian Grand Prix,MAG,Haas F1 Team,72.916,0.006535947712418301,12
2024,Canadian Grand Prix,BOT,Kick Sauber,73.366,0.0,13
2024,Canadian Grand Prix,TSU,RB,72.303,0.11764705882352941,14
2024,Canadian Grand Prix,ZHO,Kick Sauber,74.292,0.0,15
2024,Canadian Grand Prix,SAI,Ferrari,72.728,0.6535947712418301,16
2024,Canadian Grand Prix,ALB,Williams,72.485,0.013071895424836602,17
2024,Canadian Grand Prix,PER,Red Bull Racing,73.326,0.6209150326797386,18
2024,Canadian Grand Prix,LEC,Ferrari,72.691,0.8235294117647058,19
2024,Canadian Grand Prix,SAR,Williams,72.736,0.0,20
2024,Spanish Grand Prix,VER,Red Bull Racing,71.403,1.0,1
2024,Spanish Grand Prix,NOR,McLaren,71.383,0.7191011235955056,2
2024,Spanish Grand Prix,HAM,Mercedes,71.701,0.2696629213483146,3
2024,Spanish Grand Prix,RUS,Mercedes,71.703,0.38202247191011235,4
2024,Spanish Grand Prix,LEC,Ferrari,71.731,0.7078651685393258,5
2024,Spanish Grand Prix,SAI,Ferrari,71.736,0.5617977528089888,6
2024,Spanish Grand Prix,PIA,McLaren,72.011,0.42696629213483145,7
2024,Spanish Grand Prix,PER,Red Bull Racing,72.054,0.5337078651685393,8
2024,Spanish Grand Prix,GAS,Alpine,71.857,0.016853932584269662,9
2024,Spanish Grand Prix,OCO,Alpine,72.109,0.011235955056179775,10
2024,Spanish Grand Prix,HUL,Haas F1 Team,72.31,0.02247191011235955,11
2024,Spanish Grand Prix,ALO,Aston Martin,72.128,0.2303370786516854,12
2024,Spanish Grand Prix,ZHO,Kick Sauber,72.738,0.0,13
2024,Spanish Grand Prix,STR,Aston Martin,72.372,0.09550561797752809,14
2024,Spanish Grand Prix,RIC,RB,73.075,0.02247191011235955,15
2024,Spanish Grand Prix,BOT,Kick Sauber,72.227,0.0,16
2024,Spanish Grand Prix,MAG,Haas F1 Team,72.937,0.0056179775280898875,17
2024,Spanish Grand Prix,ALB,Williams,73.153,0.011235955056179775,18
2024,Spanish Grand Prix,TSU,RB,72.985,0.10112359550561797,19
2024,Spanish Grand Prix,SAR,Williams,73.509,0.0,20
2024,Austrian Grand Prix,RUS,Mercedes,64.84,0.39408866995073893,1
2024,Austrian Grand Prix,PIA,McLaren,65.048,0.4039408866995074,2
2024,Austrian Grand Prix,SAI,Ferrari,64.851,0.5320197044334976,3
2024,Austrian Grand Prix,HAM,Mercedes,64.903,0.3103448275862069,4
2024,Austrian Grand Prix,VER,Red Bull Racing,64.314,1.0,5
2024,Austrian Grand Prix,HUL,Haas F1 Team,65.262,0.019704433497536946,6
2024,Austrian Grand Prix,PER,Red Bull Racing,65.144,0.4876847290640394,7
2024,Austrian Grand Prix,MAG,Haas F1 Team,65.347,0.0049261083743842365,8
2024,Austrian Grand Prix,RIC,RB,65.289,0.019704433497536946,9
2024,Austrian Grand Prix,GAS,Alpine,65.359,0.024630541871921183,10
2024,Austrian Grand Prix,LEC,Ferrari,65.044,0.6699507389162561,11
2024,Austrian Grand Prix,OCO,Alpine,65.274,0.014778325123152709,12
2024,Austrian Grand Prix,STR,Aston Martin,65.819,0.08374384236453201,13
2024,Austrian Grand Prix,TSU,RB,65.412,0.08866995073891626,14
2024,Austrian Grand Prix,ALB,Williams,65.736,0.009852216748768473,15
2024,Austrian Grand Prix,BOT,Kick Sauber,65.847,0.0,16
2024,Austrian Grand Prix,ZHO,Kick Sauber,66.061,0.0,17
2024,Austrian Grand Prix,ALO,Aston Martin,65.639,0.2019704433497537,18
2024,Austrian Grand Prix,SAR,Williams,65.856,0.0,19
2024,Austrian Grand Prix,NOR,McLaren,64.718,0.7241379310344828,20
2024,British Grand Prix,HAM,Mercedes,85.99,0.352112676056338,1
2024,British Grand Prix,VER,Red Bull Racing,86.203,1.0,2
2024,British Grand Prix,NOR,McLaren,86.03,0.6901408450704225,3
2024,British Grand Prix,PIA,McLaren,86.237,0.4694835680751174,4
2024,British Grand Prix,SAI,Ferrari,86.509,0.5774647887323944,5
2024,British Grand Prix,HUL,Haas F1 Team,86.338,0.056338028169014086,6
2024,British Grand Prix,STR,Aston Martin,86.585,0.07981220657276995,7
2024,British Grand Prix,ALO,Aston Martin,86.73,0.19248826291079812,8
2024,British Grand Prix,ALB,Williams,86.64,0.009389671361502348,9
2024,British Grand Prix,TSU,RB,87.269,0.08450704225352113,10
2024,British Grand Prix,SAR,Williams,87.175,0.0,11
2024,British Grand Prix,MAG,Haas F1 Team,92.905,0.023474178403755867,12
2024,British Grand Prix,RIC,RB,87.949,0.028169014084507043,13
2024,British Grand Prix,LEC,Ferrari,87.097,0.6384976525821596,14
2024,British Grand Prix,BOT,Kick Sauber,92.431,0.0,15
